# id,scaling,X_translation,Y_translation,Z_translation
1.000000000000000000e+00,1.000000000000000056e-01,3.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+02
2.000000000000000000e+00,1.000000000000000056e-01,2.598076211353316012e+02,1.499999999999999716e+02,1.000000000000000000e+02
3.000000000000000000e+00,1.000000000000000056e-01,1.500000000000000284e+02,2.598076211353316012e+02,1.000000000000000000e+02
4.000000000000000000e+00,1.000000000000000056e-01,1.836970198721029747e-14,3.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,1.000000000000000056e-01,-1.499999999999999432e+02,2.598076211353316580e+02,1.000000000000000000e+02
6.000000000000000000e+00,1.000000000000000056e-01,-2.598076211353315443e+02,1.500000000000001137e+02,1.000000000000000000e+02
7.000000000000000000e+00,1.000000000000000056e-01,-3.000000000000000000e+02,3.673940397442059493e-14,1.000000000000000000e+02
8.000000000000000000e+00,1.000000000000000056e-01,-2.598076211353316580e+02,-1.499999999999999432e+02,1.000000000000000000e+02
9.000000000000000000e+00,1.000000000000000056e-01,-1.500000000000001421e+02,-2.598076211353314875e+02,1.000000000000000000e+02
1.000000000000000000e+01,1.000000000000000056e-01,-5.510910596163089240e-14,-3.000000000000000000e+02,1.000000000000000000e+02
1.100000000000000000e+01,1.000000000000000056e-01,1.499999999999997726e+02,-2.598076211353317149e+02,1.000000000000000000e+02
1.200000000000000000e+01,1.000000000000000056e-01,2.598076211353314875e+02,-1.500000000000001421e+02,1.000000000000000000e+02
1.300000000000000000e+01,1.000000000000000056e-01,6.000000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02
1.400000000000000000e+01,1.000000000000000056e-01,5.196152422706632024e+02,2.999999999999999432e+02,2.000000000000000000e+02
1.500000000000000000e+01,1.000000000000000056e-01,3.000000000000000568e+02,5.196152422706632024e+02,2.000000000000000000e+02
1.600000000000000000e+01,1.000000000000000056e-01,3.673940397442059493e-14,6.000000000000000000e+02,2.000000000000000000e+02
1.700000000000000000e+01,1.000000000000000056e-01,-2.999999999999998863e+02,5.196152422706633160e+02,2.000000000000000000e+02
1.800000000000000000e+01,1.000000000000000056e-01,-5.196152422706630887e+02,3.000000000000002274e+02,2.000000000000000000e+02
1.900000000000000000e+01,1.000000000000000056e-01,-6.000000000000000000e+02,7.347880794884118987e-14,2.000000000000000000e+02
2.000000000000000000e+01,1.000000000000000056e-01,-5.196152422706633160e+02,-2.999999999999998863e+02,2.000000000000000000e+02
2.100000000000000000e+01,1.000000000000000056e-01,-3.000000000000002842e+02,-5.196152422706629750e+02,2.000000000000000000e+02
2.200000000000000000e+01,1.000000000000000056e-01,-1.102182119232617848e-13,-6.000000000000000000e+02,2.000000000000000000e+02
2.300000000000000000e+01,1.000000000000000056e-01,2.999999999999995453e+02,-5.196152422706634297e+02,2.000000000000000000e+02
2.400000000000000000e+01,1.000000000000000056e-01,5.196152422706629750e+02,-3.000000000000002842e+02,2.000000000000000000e+02
